statYear,statMonth,m0Month,m0YOY,m0ChainRelative,m1Month,m1YOY,m1ChainRelative,m2Month,m2YOY,m2ChainRelative,date,m1subm2
2019,06,72580.960000,4.300000,-0.298770,567696.180000,4.4,4.287737,1921360.190000,8.5,1.597252,2019-06-01,-4.1
2019,07,72689.250000,4.500000,0.149199,553043.110000,3.1,-2.581146,1919410.820000,8.1,-0.101458,2019-07-01,-5.0
2019,08,73152.620000,4.800000,0.637467,556798.090000,3.4,0.678967,1935492.430000,8.2,0.837841,2019-08-01,-4.799999999999999
2019,09,74129.750000,4.000000,1.335742,557137.950000,3.4,0.061038,1952250.490000,8.4,0.865829,2019-09-01,-5.0
2019,10,73395.400000,4.700000,-0.990628,558143.920000,3.3,0.180560,1945600.550000,8.4,-0.340629,2019-10-01,-5.1000000000000005
2019,11,73973.820000,4.800000,0.788088,562486.520000,3.5,0.778043,1961429.560000,8.2,0.813580,2019-11-01,-4.699999999999999
2019,12,77200.000000,5.400000,4.361246,576000.000000,4.4,2.402454,1986500.000000,8.7,1.278172,2019-12-01,-4.299999999999999
2020,01,93200.000000,6.600000,20.725389,545500.000000,0.0,-5.295139,2023100.000000,8.4,1.842436,2020-01-01,-8.4
2020,02,88200.000000,10.900000,-5.364807,552700.000000,4.8,1.319890,2030800.000000,8.8,0.380604,2020-02-01,-4.000000000000001
2020,03,83000.000000,10.800000,-5.895692,575100.000000,5.0,4.052832,2080900.000000,10.1,2.467008,2020-03-01,-5.1
2020,04,81500.000000,10.200000,-1.807229,570200.000000,5.5,-0.852026,2093500.000000,11.1,0.605507,2020-04-01,-5.6
2020,05,79700.000000,9.500000,-2.208589,581100.000000,6.8,1.911610,2100200.000000,11.1,0.320038,2020-05-01,-4.3
2020,06,79500.000000,9.500000,-0.250941,604300.000000,6.5,3.992428,2134900.000000,11.1,1.652224,2020-06-01,-4.6
