date,code,open,high,low,close,volume,amount,pctChg
2020-03-27,sh.000001,2677.5910,2805.5479,2656.5008,2772.2033,125483473400,1342524263908.6000,0.968300
2020-03-20,sh.000001,2897.3009,2898.0349,2646.8048,2745.6182,150351044800,1629352593306.9000,-4.911200
2020-03-13,sh.000001,2987.1805,3010.0286,2799.9841,2887.4265,183455724700,1963156525974.8000,-4.847100
2020-03-06,sh.000001,2899.3100,3074.2570,2899.3100,3034.5110,193826703360,2094350819328.0000,5.353900
2020-02-28,sh.000001,3027.8920,3042.1820,2878.5440,2880.3030,203284292864,2288684875776.0000,-5.242900
2020-02-21,sh.000001,2924.9910,3058.8980,2924.9910,3039.6690,165029522944,1982167502848.0000,4.205100
2020-02-14,sh.000001,2860.4990,2935.4060,2851.0500,2917.0070,133828701952,1584618364928.0000,1.427100
2020-02-07,sh.000001,2716.6970,2876.5870,2685.2690,2875.9630,151559191040,1701238931456.0000,-3.378600
2020-01-23,sh.000001,3082.1130,3096.3100,2955.3460,2976.5280,94194017536,1163337834496.0000,-3.217900
2020-01-17,sh.000001,3091.4930,3127.1690,3067.2520,3075.4950,103658757376,1242096349184.0000,-0.543100
2020-01-10,sh.000001,3070.9080,3107.2030,3059.1310,3092.2900,134090961664,1439130861568.0000,0.275800
2020-01-03,sh.000001,2998.1680,3098.1000,2983.3430,3083.7850,101946242816,1111335817216.0000,2.620600
2019-12-27,sh.000001,2999.0350,3036.1120,2960.4350,3005.0350,97394409984,1029164322816.0000,0.003300
2019-12-20,sh.000001,2970.9690,3039.3830,2958.7060,3004.9370,117268408320,1242924621824.0000,1.255600
2019-12-13,sh.000001,2914.4570,2969.9800,2902.7890,2967.6760,86020100096,930960564224.0000,1.911500
2019-12-06,sh.000001,2874.4480,2912.0130,2857.3200,2912.0130,65537017344,719753523200.0000,1.393900
2019-11-29,sh.000001,2885.6130,2915.0410,2858.5800,2871.9810,72458973440,740168908800.0000,-0.461200
2019-11-22,sh.000001,2889.5490,2933.9900,2873.9900,2885.2880,67929028352,779436384256.0000,-0.209400
2019-11-15,sh.000001,2949.9610,2949.9610,2891.2040,2891.3430,68207601408,756442079232.0000,-2.457400
2019-11-08,sh.000001,2964.5760,3008.3140,2962.8440,2964.1840,79909829120,906089070592.0000,0.202300
2019-11-01,sh.000001,2958.6860,2980.1280,2917.1450,2958.1990,82011850752,933067374592.0000,0.110600
2019-10-25,sh.000001,2933.8960,2958.2400,2917.6880,2954.9320,63717103360,717612601344.0000,0.571484
2019-10-18,sh.000001,2993.9610,3026.3830,2933.2420,2938.1410,78639549440,855594762240.0000,-1.194288
2019-10-11,sh.000001,2905.7550,2980.7870,2891.5390,2973.6550,55140345344,642828394496.0000,2.356680
2019-09-30,sh.000001,2927.9160,2936.4820,2905.1890,2905.1890,11664681216,142591700992.0000,-0.920070
2019-09-27,sh.000001,2998.3990,3002.8960,2920.9300,2932.1670,82242366464,978747674624.0000,-2.470658
2019-09-20,sh.000001,3041.9220,3042.9280,2970.5700,3006.4460,95809963776,1086731968512.0000,-0.817785
2019-09-12,sh.000001,3023.7780,3033.4730,3004.2150,3031.2350,91019676160,1049523867648.0000,1.054607
2019-09-06,sh.000001,2886.9410,3015.8440,2883.6820,2999.6010,113954867456,1300845957120.0000,3.927780
2019-08-30,sh.000001,2851.0150,2919.6440,2849.2380,2886.2360,93370809088,1044925349888.0000,-0.386170
2019-08-23,sh.000001,2835.5180,2902.4560,2829.8540,2897.4250,87160658176,1002283139072.0000,2.606466
2019-08-16,sh.000001,2781.9810,2840.3160,2756.8340,2823.8230,70784907520,850235564032.0000,1.768446
2019-08-09,sh.000001,2854.5780,2863.6890,2733.9240,2774.7530,85403975680,977872928768.0000,-3.245791
2019-08-02,sh.000001,2943.9180,2965.6320,2851.4400,2867.8370,74463891200,870356389888.0000,-2.604956
2019-07-26,sh.000001,2925.7880,2948.3260,2879.6900,2944.5410,75025900288,865355935744.0000,0.695609
2019-07-19,sh.000001,2921.5460,2955.0000,2886.6990,2924.2000,74844514304,767622606848.0000,-0.216547
2019-07-12,sh.000001,2997.8060,2997.8060,2905.8090,2930.5460,77362269184,796156772352.0000,-2.673877
2019-07-05,sh.000001,3024.6230,3048.4830,2990.9240,3011.0580,102882779136,1080212897792.0000,1.080273
2019-06-28,sh.000001,3004.2890,3012.8260,2948.9900,2978.8780,100547124224,1020328734720.0000,-0.769559
2019-06-21,sh.000001,2880.4220,3010.3490,2874.3120,3001.9800,111041262848,1070603132928.0000,4.164021
2019-06-14,sh.000001,2833.0140,2927.4300,2824.3550,2881.9740,109576107520,1026085089280.0000,1.915873
2019-06-06,sh.000001,2901.7420,2920.8290,2822.1850,2827.7970,76303255552,729243631616.0000,-2.445893
2019-05-31,sh.000001,2851.2800,2934.9760,2833.0360,2898.6960,101997964544,1012263526400.0000,1.601896
2019-05-24,sh.000001,2874.8010,2919.2370,2838.4530,2852.9940,98543217152,951176720384.0000,-1.016620
2019-05-17,sh.000001,2905.0670,2956.7830,2872.8330,2882.2960,116558227968,1104188477440.0000,-1.936371
2019-05-10,sh.000001,2984.7270,2986.5390,2838.3840,2939.2100,129413250048,1250296496128.0000,-4.519582
2019-04-30,sh.000001,3090.6330,3107.7600,3050.0260,3078.3380,51441740288,514561409024.0000,-0.261146
2019-04-26,sh.000001,3278.4900,3279.4890,3085.8040,3086.3980,156320374272,1546287824896.0000,-5.637739
2019-04-19,sh.000001,3233.4580,3275.3330,3153.2060,3270.7970,170500827904,1708982751232.0000,2.577036
2019-04-12,sh.000001,3271.2720,3288.4530,3168.0420,3188.6250,189164368384,1931967717376.0000,-1.784837
2019-04-04,sh.000001,3111.6610,3254.1400,3111.6610,3246.5710,181285997824,1860526444544.0000,5.041255
2019-03-29,sh.000001,3058.8010,3093.0320,2987.7710,3090.7580,168835655168,1688150618112.0000,-0.431358
2019-03-22,sh.000001,3027.8010,3125.0190,3009.5070,3104.1480,188636306944,1861599973376.0000,2.726796
2019-03-15,sh.000001,2969.0800,3093.3910,2963.5830,3021.7510,210494874880,2043644211200.0000,1.747220
2019-03-08,sh.000001,3015.9420,3129.9390,2969.5810,2969.8610,266647086592,2400173985792.0000,-0.806411
2019-03-01,sh.000001,2838.3890,2997.4880,2838.3890,2994.0050,226518581248,1976327217152.0000,6.767607
2019-02-22,sh.000001,2699.8170,2804.2260,2699.8170,2804.2260,139458618368,1194304319488.0000,4.542264
2019-02-15,sh.000001,2613.1740,2729.4550,2613.1740,2682.3850,97583565824,841328144384.0000,2.450241
2019-02-01,sh.000001,2615.7110,2630.3180,2559.9820,2618.2320,70935616768,592854487040.0000,0.634541
2019-01-25,sh.000001,2599.0570,2618.9800,2569.7000,2601.7230,76082575872,635002458112.0000,0.220262
2019-01-18,sh.000001,2553.3280,2598.8830,2532.4330,2596.0050,80762790656,659311271936.0000,1.651401
2019-01-11,sh.000001,2528.6980,2574.4070,2515.5080,2553.8310,83661055232,684772806656.0000,1.549306
2019-01-04,sh.000001,2497.8800,2515.3160,2440.9060,2514.8680,40320717824,343814041600.0000,0.840933
2018-12-28,sh.000001,2506.7370,2532.0020,2462.8440,2493.8960,60146213632,512977088512.0000,-0.888385
2018-12-21,sh.000001,2587.2630,2599.1470,2498.6930,2516.2500,57829611520,500846166016.0000,-2.987578
2018-12-14,sh.000001,2589.1940,2645.8360,2576.2420,2593.7400,61470293504,529671553024.0000,-0.466137
2018-12-07,sh.000001,2647.1310,2666.0780,2599.2770,2605.8870,78065821440,692526043136.0000,0.683876
2018-11-30,sh.000001,2580.8420,2617.5470,2555.3220,2588.1870,70043420928,571655421952.0000,0.337432
2018-11-23,sh.000001,2681.8980,2703.5110,2577.3510,2579.4830,97093419776,802354716672.0000,-3.718624
2018-11-16,sh.000001,2593.2000,2695.5680,2590.2100,2679.1090,111281067776,885795180544.0000,3.087418
2018-11-09,sh.000001,2665.4270,2675.6770,2598.1600,2598.8710,84271335936,704580968448.0000,-2.899522
2018-11-02,sh.000001,2593.5900,2676.4760,2521.7830,2676.4760,90740543232,817896083456.0000,2.987095
2018-10-26,sh.000001,2565.6440,2675.4060,2531.5340,2598.8460,87126149888,777357066240.0000,1.896948
2018-10-19,sh.000001,2605.9120,2611.9680,2449.1970,2550.4650,64070140928,566068027392.0000,-2.165282
2018-10-12,sh.000001,2768.2070,2771.9380,2536.6650,2606.9120,74699136256,675997437952.0000,-7.600546
2018-09-28,sh.000001,2775.0660,2827.3410,2771.1590,2821.3500,50983903488,502404517888.0000,0.853124
2018-09-21,sh.000001,2671.2900,2797.4850,2644.2960,2797.4840,61496130560,593953722368.0000,4.319777
2018-09-14,sh.000001,2698.0100,2703.4280,2647.1700,2681.6430,50079189504,510650003456.0000,-0.764423
2018-09-07,sh.000001,2716.4030,2756.6070,2683.7190,2702.3000,52276670976,545902174208.0000,-0.842088
2018-08-31,sh.000001,2736.3180,2791.3890,2710.5360,2725.2490,56748856064,588982677504.0000,-0.153182
2018-08-24,sh.000001,2673.0660,2748.8240,2653.1110,2729.4300,51699838208,545263620096.0000,2.265447
2018-08-17,sh.000001,2769.0160,2789.7980,2665.5910,2668.9660,58598827776,593714003968.0000,-4.519822
2018-08-10,sh.000001,2736.5250,2806.1140,2692.3210,2795.3090,70021408000,694415519744.0000,2.002122
2018-08-03,sh.000001,2871.9390,2897.3990,2726.4820,2740.4420,72128308224,716114231296.0000,-4.633607
2018-07-27,sh.000001,2815.2000,2915.2970,2809.6160,2873.5930,88556112128,872026853376.0000,1.566552
2018-07-20,sh.000001,2827.0820,2837.8620,2753.8390,2829.2710,59453171712,677039230976.0000,-0.067534
2018-07-13,sh.000001,2752.4460,2844.1930,2752.4350,2831.1830,63010275584,723225780224.0000,3.055990
2018-07-06,sh.000001,2841.5790,2845.6800,2691.0200,2747.2280,66831617024,721433657344.0000,-3.518626
2018-06-29,sh.000001,2903.4490,2908.6240,2782.3810,2847.4180,62128658176,678551023616.0000,-1.465243
2018-06-22,sh.000001,2982.6500,2984.9700,2837.1440,2889.7600,65537294848,681412558848.0000,-4.372746
2018-06-15,sh.000001,3057.3390,3081.4470,3008.7320,3021.9000,60144882688,763226525696.0000,-1.475215
2018-06-08,sh.000001,3083.4260,3128.7150,3053.2870,3067.1470,61599881984,810710962176.0000,-0.259826
2018-06-01,sh.000001,3136.8090,3149.6640,3041.0000,3075.1370,68993657856,889760481280.0000,-2.106323
2018-05-25,sh.000001,3206.1750,3219.7390,3131.0670,3141.3030,71925639168,914955468800.0000,-1.628408
2018-05-18,sh.000001,3167.0410,3193.4530,3144.7760,3193.3030,63491385600,828629356544.0000,0.949652
2018-05-11,sh.000001,3094.8980,3180.7560,3091.6570,3163.2630,67217301760,853516599296.0000,2.336759
2018-05-04,sh.000001,3087.4080,3105.6590,3056.1570,3091.0330,39288145152,490127478784.0000,0.285572
2018-04-27,sh.000001,3063.4420,3136.0390,3045.9360,3082.2310,68647057920,858001977344.0000,0.348001
2018-04-20,sh.000001,3152.8880,3153.1060,3041.6250,3071.5420,77613293824,961238405120.0000,-2.770135
2018-04-13,sh.000001,3125.4410,3220.8450,3110.3020,3159.0520,75946080256,943436562432.0000,0.892367
2018-04-04,sh.000001,3169.7780,3192.3400,3119.1320,3131.1110,47692113152,609439105024.0000,-1.192371
2018-03-30,sh.000001,3117.3190,3177.7200,3091.4570,3168.8960,86389920256,1058540122112.0000,0.511806
2018-03-23,sh.000001,3264.9280,3314.2090,3110.6630,3152.7600,87219932928,1023246569472.0000,-3.581842
2018-03-16,sh.000001,3319.2080,3333.8750,3269.2820,3269.8820,83091512832,981005078528.0000,-1.127340
2018-03-09,sh.000001,3255.8710,3309.7150,3236.7170,3307.1650,82711108352,970264334336.0000,1.617347
2018-03-02,sh.000001,3307.2950,3335.9850,3228.5840,3254.5280,82379088896,961842008064.0000,-1.048822
2018-02-23,sh.000001,3237.5690,3294.1330,3234.1150,3289.0240,28452081408,316806397952.0000,2.809052
2018-02-14,sh.000001,3128.3700,3219.2160,3113.6050,3199.1580,40516125440,457600589824.0000,2.214419
2018-02-09,sh.000001,3411.6690,3487.7210,3062.7420,3129.8500,121682062080,1360725512192.0000,-9.596254
2018-02-02,sh.000001,3563.6400,3587.0320,3388.8590,3462.0800,109827560192,1281917669376.0000,-2.699397
2018-01-26,sh.000001,3476.9930,3574.9040,3475.6730,3558.1280,117525965312,1397155868672.0000,2.014528
2018-01-19,sh.000001,3428.9500,3498.4340,3401.9600,3487.8640,117210606848,1431355944960.0000,1.718432
2018-01-12,sh.000001,3391.5520,3435.4230,3384.5590,3428.9400,98462418944,1213354225664.0000,1.096484
2018-01-05,sh.000001,3314.0300,3402.0690,3314.0300,3391.7500,83613097984,977433591808.0000,2.557412
2017-12-29,sh.000001,3296.2100,3312.2990,3263.7280,3307.1720,76896153344,928614150144.0000,0.306606
2017-12-22,sh.000001,3268.0330,3309.2230,3254.1770,3297.0630,63976089600,794326200320.0000,0.946868
2017-12-15,sh.000001,3290.4880,3322.6730,3259.3880,3266.1370,62005431552,792484364288.0000,-0.725078
2017-12-08,sh.000001,3310.3810,3323.9960,3254.6100,3289.9920,77325181696,935215579136.0000,-0.832676
2017-12-01,sh.000001,3346.6560,3347.0500,3300.7800,3317.6170,78428705280,960202813440.0000,-1.079456
2017-11-24,sh.000001,3361.3560,3442.1770,3328.3330,3353.8200,96179863552,1245379629056.0000,-0.859823
2017-11-17,sh.000001,3435.1830,3450.4940,3373.2950,3382.9070,97679628800,1308520562688.0000,-1.449774
2017-11-10,sh.000001,3369.6850,3438.7920,3356.5330,3432.6730,87857161216,1150138552320.0000,1.807047
2017-11-03,sh.000001,3413.8670,3419.7310,3347.3600,3371.7440,88199267584,1107137531904.0000,-1.319007
2017-10-27,sh.000001,3382.2800,3421.1020,3374.1240,3416.8120,74790082048,953956331520.0000,1.129564
2017-10-20,sh.000001,3393.2050,3400.5110,3359.6280,3378.6480,74259048192,921846669312.0000,-0.350241
2017-10-13,sh.000001,3403.2450,3410.1700,3358.7950,3390.5230,85440074752,1072530038784.0000,1.241586
2017-09-29,sh.000001,3344.5880,3357.0150,3332.5980,3348.9430,73964357888,888271114240.0000,-0.106964
2017-09-22,sh.000001,3352.5130,3377.8840,3334.9840,3352.5290,95032873216,1113036029952.0000,-0.032502
2017-09-15,sh.000001,3365.3500,3391.6430,3345.3280,3353.6190,112754435584,1322302283776.0000,-0.345384
2017-09-08,sh.000001,3369.7180,3391.0100,3353.6870,3365.2420,113259545088,1303176945664.0000,-0.055745
2017-09-01,sh.000001,3336.1260,3381.9250,3336.1260,3367.1190,124074664960,1436731977728.0000,1.068491
2017-08-25,sh.000001,3274.5800,3331.9140,3266.3580,3331.5220,92180110336,1050362593280.0000,1.921178
2017-08-18,sh.000001,3206.0430,3275.0760,3206.0430,3268.7240,94424187648,1061339156480.0000,1.875712
2017-08-11,sh.000001,3257.6700,3285.4830,3200.7480,3208.5410,122246244096,1244311986176.0000,-1.641253
2017-08-04,sh.000001,3252.7510,3305.4310,3251.1940,3262.0800,125914800640,1318482509824.0000,0.271729
2017-07-28,sh.000001,3230.8980,3264.8480,3220.6360,3253.2400,106288510208,1133497880576.0000,0.471250
2017-07-21,sh.000001,3219.7910,3247.7120,3139.5030,3237.9810,116736070400,1208658960384.0000,0.483023
2017-07-14,sh.000001,3208.4620,3226.9080,3177.9340,3222.4160,92909653760,1015254331392.0000,0.138597
2017-07-07,sh.000001,3191.9980,3219.5230,3174.3140,3217.9560,78224187136,895732289536.0000,0.799705
2017-06-30,sh.000001,3157.0020,3193.4610,3156.9760,3192.4260,71851714304,820469604352.0000,1.094186
2017-06-23,sh.000001,3122.1570,3186.9820,3118.0940,3157.8730,75895948288,877294989312.0000,1.111276
2017-06-16,sh.000001,3149.5260,3164.9500,3117.0840,3123.1660,69000175104,799662383104.0000,-1.115565
2017-06-09,sh.000001,3102.1090,3165.9190,3078.7870,3158.4000,73165327360,826001555456.0000,1.702119
2017-06-02,sh.000001,3125.3250,3143.2780,3081.8480,3105.5400,45847107328,513150283776.0000,-0.145271
2017-05-26,sh.000001,3087.1700,3120.6620,3022.3020,3110.0580,81912301056,891321348096.0000,0.628610
2017-05-19,sh.000001,3085.9310,3119.5810,3060.5340,3090.6300,75636571648,864436047872.0000,0.230808
2017-05-12,sh.000001,3090.0650,3093.4510,3016.5300,3083.5130,82741403136,905303056384.0000,-0.629190
2017-05-05,sh.000001,3147.2270,3154.7810,3092.0910,3103.0370,67216801536,767071281152.0000,-1.636342
2017-04-28,sh.000001,3164.2470,3164.2470,3097.3330,3154.6580,88425682176,988031467520.0000,-0.582796
2017-04-21,sh.000001,3229.9490,3229.9490,3147.0650,3173.1510,97027234048,1069117177856.0000,-2.246257
2017-04-14,sh.000001,3285.4590,3290.3880,3238.8950,3246.0660,120521308928,1364937019392.0000,-1.233792
2017-04-07,sh.000001,3235.6600,3295.1870,3233.2360,3286.6160,72971714560,802275065856.0000,1.989192
2017-03-31,sh.000001,3268.9240,3283.2390,3195.8520,3222.5140,102324666368,1177740906496.0000,-1.435442
2017-03-24,sh.000001,3241.1100,3275.2060,3221.9340,3269.4450,93580644352,1202959343616.0000,0.988371
2017-03-17,sh.000001,3209.4490,3274.1900,3193.1560,3237.4470,84467469312,1090874511360.0000,0.768405
2017-03-10,sh.000001,3217.3340,3245.3040,3205.2790,3212.7600,78493163008,974806978560.0000,-0.172482
2017-03-03,sh.000001,3249.1940,3259.9780,3206.6120,3218.3110,86280038400,1039107854336.0000,-1.079506
2017-02-24,sh.000001,3198.9630,3264.0810,3198.9630,3253.4320,104686509824,1169304248320.0000,1.603866
2017-02-17,sh.000001,3198.9940,3238.3950,3198.9940,3202.0750,109368142336,1173538197504.0000,0.168173
2017-02-10,sh.000001,3143.0930,3205.0490,3132.0330,3196.6990,83144515072,928976232448.0000,1.800189
2017-02-03,sh.000001,3160.0810,3162.6770,3136.0130,3140.1700,9222473728,108023660544.0000,-0.601298
2017-01-26,sh.000001,3125.4200,3163.1040,3125.4200,3159.1660,48458487296,534478614528.0000,1.153583
2017-01-20,sh.000001,3104.4920,3125.6590,3044.2910,3123.1380,77204218112,842882584576.0000,0.333273
2017-01-13,sh.000001,3148.5310,3174.5780,3102.1620,3112.7640,83499896832,912621109248.0000,-1.317463
2017-01-06,sh.000001,3105.3080,3172.0340,3105.3080,3154.3210,66786464768,762789494784.0000,1.633052
